ps	pd	d	seed	ksize	subst_rate_lin	del_rate_lin	ins_rate_lin	subst_rate_poly	del_rate_poly	ins_rate_poly	subst_rate_smm
0.01	0.01	0.01	0	21	0.009000612950780355	0.010182684240666961	0.010593090721520624	0.011556213200687023	0.010371520703015896	0.01198608134953405	0.027035150842766975
0.01	0.01	0.01	0	31	0.009639915664855619	0.009330280621899945	0.009740687102753609	1.190629332044506e-16	1.0596254420815726e-16	2.220446049250313e-16	0.02765178901694343
0.01	0.01	0.01	0	41	0.009992670013552191	0.008859941490304514	0.009270347971158178	0.29335253631529307	0.2592411980811561	1.7020857431118879	0.02787409297605714
0.01	0.01	0.01	1	21	0.009000612950780355	0.010182684240666961	0.010593090721520624	0.011556213200687023	0.010371520703015896	0.01198608134953405	0.027035150842766975
0.01	0.01	0.01	1	31	0.009639915664855619	0.009330280621899945	0.009740687102753609	1.190629332044506e-16	1.0596254420815726e-16	2.220446049250313e-16	0.02765178901694343
0.01	0.01	0.01	1	41	0.009992670013552191	0.008859941490304514	0.009270347971158178	0.29335253631529307	0.2592411980811561	1.7020857431118879	0.02787409297605714
0.01	0.01	0.01	2	21	0.010572723805396748	0.010453123348066333	0.01041743582799212	None	None	None	0.02737348034471665
0.01	0.01	0.01	2	31	0.011370399345980792	0.009389555960620938	0.009353868440546725	1.0758083897372896e-16	9.988590883462026e-17	2.220446049250313e-16	0.02780124257056149
0.01	0.01	0.01	2	41	0.01160977619868721	0.009070386823679054	0.009034699303604843	0.0	0.0	0.0	0.028035647526304608
0.01	0.01	0.01	3	21	0.009190911208359161	0.011008220888941204	0.010695955088291735	0.015320700731166457	0.014245929257129085	0.014920012993906884	0.027910157214677378
0.01	0.01	0.01	3	31	0.01010941568014401	0.009783548259894735	0.009471282459245266	1.1901278430341906e-16	1.1507880579055147e-16	2.220446049250313e-16	0.028546503338815588
0.01	0.01	0.01	3	41	0.009805779304151682	0.010188396761217846	0.009876130960568379	0.2833801090692251	0.2721521567879489	1.4163690140787293	0.028888723124869342
0.01	0.01	0.01	4	21	0.0069669916798045	0.010787656851075234	0.010502156690481424	0.012629878698310506	0.013298686037009372	0.013767747257036334	0.026048477264387082
0.01	0.01	0.01	4	31	0.008009907278340484	0.00939710271969392	0.00911160255910011	0.0	0.0	0.0	0.026442169368163237
0.01	0.01	0.01	4	41	0.008180244106007333	0.00916998694947146	0.008884486788877651	0.0	0.0	0.0	0.026689766521375446
0.01	0.01	0.01	5	21	0.009423007822945412	0.010516713588962919	0.010579166749092789	None	None	None	0.027697759923895227
0.01	0.01	0.01	5	31	0.010534781657661673	0.009034348476007906	0.009096801636137776	1.1674879194639087e-16	1.0295729270005465e-16	2.220446049250313e-16	0.0283359701763094
0.01	0.01	0.01	5	41	0.010131375995765239	0.00957222269186982	0.009634675851999694	1.2837012742858107e-16	1.1591630909595753e-16	2.220446049250313e-16	0.028746760099850555
0.01	0.01	0.01	6	21	0.012064312423749406	0.011325047979541243	0.01100386029887322	0.01278025792379686	0.012369786432418045	0.012804382300037886	0.0282161708769757
0.01	0.01	0.01	6	31	0.012738373114290033	0.010426300392153736	0.010105112711485714	None	None	None	0.028730059263612273
0.01	0.01	0.01	6	41	0.012595271652461167	0.010617102341258892	0.010295914660590872	None	None	None	0.02890962288975263
0.01	0.01	0.01	7	21	0.0096064290380512	0.010727264836813284	0.011030608757444311	0.01418511896031538	0.013433913209058786	0.014773030977586421	0.02772463221702104
0.01	0.01	0.01	7	31	0.010310099001927718	0.009789038218311256	0.010092382138942285	1.0821405911067482e-16	1.0085319056021582e-16	2.220446049250313e-16	0.02839671711409697
0.01	0.01	0.01	7	41	0.010091315823522868	0.01008074912285106	0.010384093043482086	0.0	0.0	0.0	0.028587195658417053
0.01	0.01	0.01	8	21	0.007124355874402304	0.011618095908924748	0.011261220708182402	None	None	None	0.02814532317449281
0.01	0.01	0.01	8	31	0.007859660344094898	0.010637689949334618	0.010280814748592272	0.0	0.0	0.0	0.028868719192071124
