ps	pd	d	seed	ksize	subst_rate_lin	del_rate_lin	ins_rate_lin	subst_rate_poly	del_rate_poly	ins_rate_poly	subst_rate_smm
0.01	0.01	0.01	0	21	0.009421851069932416	0.009621033415130884	0.01003143989598455	0.010040737258780267	0.009564357504778642	0.009702573032029482	0.027035150842766975
0.01	0.01	0.01	0	31	0.00948857739730296	0.009532064978636824	0.009942471459490487	0.0	0.0	0.0	0.02765178901694343
0.01	0.01	0.01	0	41	0.00964489350947701	0.009323643495738089	0.009734049976591752	0.34155772430799586	0.31428460107156486	7.999572138091722	0.02787409297605714
0.01	0.01	0.01	1	21	0.009421851069932416	0.009621033415130884	0.01003143989598455	0.010040737258780267	0.009564357504778642	0.009702573032029482	0.027035150842766975
0.01	0.01	0.01	1	31	0.00948857739730296	0.009532064978636824	0.009942471459490487	0.0	0.0	0.0	0.02765178901694343
0.01	0.01	0.01	1	41	0.00964489350947701	0.009323643495738089	0.009734049976591752	0.34155772430799586	0.31428460107156486	7.999572138091722	0.02787409297605714
0.01	0.01	0.01	2	21	0.01100157267008304	0.009881324861817947	0.009845637341743737	0.00971264782282594	0.009891593559552117	0.010278627928057338	0.02737348034471665
0.01	0.01	0.01	2	31	0.011126089751143039	0.00971530208707128	0.009679614566997067	None	None	None	0.02780124257056149
0.01	0.01	0.01	2	41	0.01115717640013069	0.009673853221754413	0.0096381657016802	0.0	0.0	0.0	0.028035647526304608
0.01	0.01	0.01	3	21	0.010434329658581367	0.00935032962197826	0.00903806382132879	0.010453756332920613	0.009408934771668608	0.011101147346977536	0.027910157214677378
0.01	0.01	0.01	3	31	0.010389936684551408	0.009409520254018209	0.00909725445336874	0.0	0.0	0.0	0.028546503338815588
0.01	0.01	0.01	3	41	0.010393112780416745	0.009405285459531095	0.009093019658881627	0.3362305508195083	0.29536030447733924	7.819761116548083	0.028888723124869342
0.01	0.01	0.01	4	21	0.008338294722503081	0.008959252794143792	0.008673752633549983	0.00887060340942663	0.00888409368159372	0.010512382106472318	0.026048477264387082
0.01	0.01	0.01	4	31	0.008395221882234495	0.008883349914501903	0.008597849753908093	0.0	0.0	0.0	0.026442169368163237
0.01	0.01	0.01	4	41	0.008336825059403636	0.008961212344943051	0.008675712184349241	0.0	0.0	0.0	0.026689766521375446
0.01	0.01	0.02	0	21	0.004771480063790628	0.01820111822834101	0.02745310780758524	0.008977038798324668	0.01680543903861474	0.009498841019455417	0.035326311220494344
0.01	0.01	0.02	0	31	0.0048925658210169235	0.018039670552039283	0.027291660131283507	0.0	0.0	0.0	0.03613835482632399
0.01	0.01	0.02	0	41	0.0049508785748589605	0.01796192021358323	0.027213909792827454	0.0	0.0	0.0	0.036513937152632736
0.01	0.01	0.02	1	21	0.004771480063790628	0.01820111822834101	0.02745310780758524	0.008977038798324668	0.01680543903861474	0.009498841019455417	0.035326311220494344
0.01	0.01	0.02	1	31	0.0048925658210169235	0.018039670552039283	0.027291660131283507	0.0	0.0	0.0	0.03613835482632399
