ps	pd	d	seed	ksize	subst_rate_lin	del_rate_lin	ins_rate_lin	subst_rate_poly	del_rate_poly	ins_rate_poly	subst_rate_smm
0.01	0.01	0.01	0	21	0.009815333751813093	0.010243677889114929	0.01015074092439447	0.008584158020640636	0.007826759622318977	0.008454340527545678	0.028142546768434418
0.01	0.01	0.01	0	31	0.009924607634125273	0.010097979379365364	0.010005042414644907	0.18461225655684016	0.1730009548919552	0.3875655628095014	0.028628632110293317
0.01	0.01	0.01	0	41	0.01005280083820655	0.009927055107256982	0.009834118142536524	2.5263297041646717e-16	2.3775968798026153e-16	2.220446049250313e-16	0.02885527295481305
0.01	0.01	0.01	1	21	0.009815333751813093	0.010243677889114929	0.01015074092439447	0.008584158020640636	0.007826759622318977	0.008454340527545678	0.028142546768434418
0.01	0.01	0.01	1	31	0.009924607634125273	0.010097979379365364	0.010005042414644907	0.18461225655684016	0.1730009548919552	0.3875655628095014	0.028628632110293317
0.01	0.01	0.01	1	41	0.01005280083820655	0.009927055107256982	0.009834118142536524	2.5263297041646717e-16	2.3775968798026153e-16	2.220446049250313e-16	0.02885527295481305
0.01	0.01	0.01	2	21	0.010927030219380487	0.010167892955252965	0.010171721818967937	0.008591682841331928	0.007694831356236929	0.0083435652694126	0.02816946529527553
0.01	0.01	0.01	2	31	0.011084131287053147	0.009958424865022748	0.009962253728737719	8.682347510807663e-17	7.940164340660582e-17	2.220446049250313e-16	0.02858899913970747
0.01	0.01	0.01	2	41	0.011145791809390475	0.009876210835239653	0.009880039698954625	0.28213232886841966	0.25872866781617504	1.4041031809550648	0.0288144903774602
0.01	0.01	0.01	3	21	0.010158785476551782	0.01024217606238489	0.010283597406211565	0.008445699115483702	0.007661885147219585	0.00835286277995273	0.028326186003865383
0.01	0.01	0.01	3	31	0.010334168586395243	0.010008331915926953	0.010049753259753628	0.0	0.0	0.0	0.028790840368459247
0.01	0.01	0.01	3	41	0.010352239221537201	0.00998423773573766	0.010025659079564334	0.2744595436959529	0.259027267574541	1.357427826772811	0.029024295106862663
0.01	0.01	0.01	4	21	0.00962033911159453	0.010329151934465671	0.010454460201504609	0.008659778144606719	0.007927085886281921	0.00864807646328214	0.02841536584983917
0.01	0.01	0.01	4	31	0.009647751978607184	0.010292601445115478	0.010417909712154417	0.0	0.0	0.0	0.028908059008687315
0.01	0.01	0.01	4	41	0.009775761874836182	0.010121921583476795	0.01024722985051573	1.2439989031599062e-16	1.1771511925837678e-16	2.220446049250313e-16	0.02914556605274765
0.01	0.01	0.02	0	21	0.010158341182341529	0.010280976714465049	0.019985405839587085	0.007780482818742421	0.00687634997793879	0.014850354316063852	0.036830711731905996
0.01	0.01	0.02	0	31	0.010266472555837099	0.010136801549804281	0.019841230674926318	0.0	0.0	0.0	0.037633654072094735
0.01	0.01	0.02	0	41	0.010293680840627517	0.010100523836750405	0.019804952961872443	1.406920733245604e-16	1.2957361285918515e-16	2.220446049250313e-16	0.03804185003947569
0.01	0.01	0.02	1	21	0.010158341182341529	0.010280976714465049	0.019985405839587085	0.007780482818742421	0.00687634997793879	0.014850354316063852	0.036830711731905996
0.01	0.01	0.02	1	31	0.010266472555837099	0.010136801549804281	0.019841230674926318	0.0	0.0	0.0	0.037633654072094735
0.01	0.01	0.02	1	41	0.010293680840627517	0.010100523836750405	0.019804952961872443	1.406920733245604e-16	1.2957361285918515e-16	2.220446049250313e-16	0.03804185003947569
0.01	0.01	0.02	2	21	0.008357133783953872	0.010350850075533628	0.020246722386409594	0.007336127391212035	0.00652425802319657	0.014133039295243899	0.03690193672422537
0.01	0.01	0.02	2	31	0.008467603742091363	0.010203556798016983	0.020099429108892952	1.8004693153071055e-16	1.6548648987984874e-16	4.440892098500626e-16	0.037686640688217365
0.01	0.01	0.02	2	41	0.008547470310736428	0.010097068039823553	0.01999294035069952	None	None	None	0.03806566777321485
0.01	0.01	0.02	3	21	0.009536666196443465	0.010373593202766531	0.02022943648389385	0.007615723324405698	0.006779331369220413	0.014677070466117437	0.03710948069426612
0.01	0.01	0.02	3	31	0.009628143306596343	0.010251623722562688	0.020107467003690004	0.0	0.0	0.0	0.037901853977376
0.01	0.01	0.02	3	41	0.009653692980204727	0.010217557491084838	0.020073400772212154	0.0	0.0	0.0	0.038316227993827945
0.01	0.01	0.02	4	21	0.00930929122184437	0.01044028168707559	0.02043361598342611	0.0074917451998170945	0.006719864141792556	0.014485283689467332	0.037068443853285005
0.01	0.01	0.02	4	31	0.009436853328333532	0.010270198878423387	0.020263533174773907	0.1519988395661992	0.1385777394734606	0.6975456530751558	0.037899900838090916
0.01	0.01	0.02	4	41	0.009461591295689197	0.010237214921949163	0.020230549218299684	None	None	None	0.03829963587311225
0.01	0.01	0.03	0	21	0.009213254194103812	0.010324624319215048	0.029995933773201703	0.015344019124366986	0.013268257729807512	0.044771202658813625	0.0451777694086124
0.01	0.01	0.03	0	31	0.009261704494592685	0.010260023918563217	0.02993133337254987	0.10366096328995439	0.0922784065377077	0.557893373793455	0.04632970820731308
0.01	0.01	0.03	0	41	0.009144910802972653	0.010415748840723247	0.0300870582947099	8.674979600781316e-17	8.096008732602242e-17	2.220446049250313e-16	0.04692167315632878
0.01	0.01	0.03	1	21	0.009213254194103812	0.010324624319215048	0.029995933773201703	0.015344019124366986	0.013268257729807512	0.044771202658813625	0.0451777694086124
0.01	0.01	0.03	1	31	0.009261704494592685	0.010260023918563217	0.02993133337254987	0.10366096328995439	0.0922784065377077	0.557893373793455	0.04632970820731308
0.01	0.01	0.03	1	41	0.009144910802972653	0.010415748840723247	0.0300870582947099	8.674979600781316e-17	8.096008732602242e-17	2.220446049250313e-16	0.04692167315632878
0.01	0.01	0.03	2	21	0.009972328524514016	0.010169629418317809	0.03005187445515325	0.015772560214994902	0.013522821243470696	0.046996155387343475	0.04538022153224164
0.01	0.01	0.03	2	31	0.0099727580371214	0.01016905673484131	0.030051301771676756	0.0	0.0	0.0	0.04655060186462012
0.01	0.01	0.03	2	41	0.009865739934647563	0.01031174753813976	0.030193992574975206	8.894334619145841e-17	8.174440100311582e-17	2.220446049250313e-16	0.04712182443393509
0.01	0.01	0.03	3	21	0.009245732987055723	0.010436217612484927	0.030223785292002096	0.016071206671692127	0.013984488960528181	0.047248260238042405	0.04558199832323673
0.01	0.01	0.03	3	31	0.009333040875492193	0.010319807094569646	0.030107374774086815	1.0704983693788256e-16	9.476726835720155e-17	2.220446049250313e-16	0.04674048740971137
0.01	0.01	0.03	3	41	0.009371505366870593	0.010268521106065093	0.03005608878558226	0.0	0.0	0.0	0.04736677721857674
0.01	0.01	0.03	4	21	0.009040154856449113	0.010446994590710539	0.03022655646427798	0.015361724488776573	0.013307531760732906	0.044440717779422156	0.04542711584489201
0.01	0.01	0.03	4	31	0.00912322525956984	0.010336234053216245	0.03011579592678369	None	None	None	0.046598679427353185
0.01	0.01	0.03	4	41	0.009044887014772558	0.0104406850462793	0.030220246919846743	8.817700717863047e-17	8.036207521269256e-17	2.220446049250313e-16	0.04712276947488614
0.01	0.01	0.04	0	21	0.01054789244641001	0.010173604641474555	0.039709807418096946	0.013768338267184243	0.011458259037171167	0.05160385334459372	0.053292325532237395
0.01	0.01	0.04	0	31	0.010516035510650444	0.010216080555820618	0.039752283332443	0.11330281955627751	0.09612954990087455	1.0053633363141503	0.05472659924276435
0.01	0.01	0.04	0	41	0.01056828844139995	0.010146409981487978	0.03968261275811037	1.181495552397872e-16	1.0296455553068989e-16	4.440892098500626e-16	0.055421430488466705
0.01	0.01	0.04	1	21	0.01054789244641001	0.010173604641474555	0.039709807418096946	0.013768338267184243	0.011458259037171167	0.05160385334459372	0.053292325532237395
0.01	0.01	0.04	1	31	0.010516035510650444	0.010216080555820618	0.039752283332443	0.11330281955627751	0.09612954990087455	1.0053633363141503	0.05472659924276435
0.01	0.01	0.04	1	41	0.01056828844139995	0.010146409981487978	0.03968261275811037	1.181495552397872e-16	1.0296455553068989e-16	4.440892098500626e-16	0.055421430488466705
0.01	0.01	0.04	2	21	0.008599032946143283	0.010287514432516442	0.04010009155366349	0.01406383598889225	0.011865169790853324	0.05447097770889142	0.05365171924455314
0.01	0.01	0.04	2	31	0.008572872543124915	0.010322394969874256	0.0401349720910213	0.10812359555406771	0.09492140127020325	0.9794467591839484	0.055064852103070105
0.01	0.01	0.04	2	41	0.008501367766223891	0.010417734672408965	0.04023031179355601	0.15502893782961677	0.13929405657548466	4.161735371416927	0.05572780602845839
0.01	0.01	0.04	3	21	0.009745712748833912	0.01032824464772466	0.040121329371776614	0.013806397996743849	0.011589954769313767	0.05254872031515423	0.05384024529708187
0.01	0.01	0.04	3	31	0.009826973499566278	0.0102198969800815	0.04001298170413345	0.0	0.0	0.0	0.055301351297694534
0.01	0.01	0.04	3	41	0.009869726510257418	0.010162892965826668	0.03995597768987862	0.0	0.0	0.0	0.05607083735617224
0.01	0.01	0.04	4	21	0.009134811583611986	0.010316654998479264	0.040406302621190084	0.01363843238809984	0.011370270094287519	0.05207505709562432	0.05389272180685911
0.01	0.01	0.04	4	31	0.0091076357465141	0.010352889447943131	0.040442537070653956	0.10862565077830999	0.09357708655465012	0.9743324955936596	0.05540225948557842
0.01	0.01	0.04	4	41	0.009145929355845133	0.01030183130216843	0.04039147892487926	0.14515491556759522	0.12463208233218995	2.5318076798928293	0.05611162019497429
0.01	0.01	0.05	0	21	0.010341500789794027	0.010089429343711575	0.04955979306836054	0.01365912095675184	0.011033378123180245	0.06346610331103575	0.061357636004340854
0.01	0.01	0.05	0	31	0.010269589161934729	0.010185311514190637	0.049655675238839604	0.0	0.0	0.0	0.0629794396608947
0.01	0.01	0.05	0	41	0.01029709620059898	0.010148635462638294	0.04961899918728726	0.10976734376716665	0.0951121198922459	1.583986318750274	0.06368040753524362
0.01	0.01	0.05	1	21	0.010341500789794027	0.010089429343711575	0.04955979306836054	0.01365912095675184	0.011033378123180245	0.06346610331103575	0.061357636004340854
0.01	0.01	0.05	1	31	0.010269589161934729	0.010185311514190637	0.049655675238839604	0.0	0.0	0.0	0.0629794396608947
0.01	0.01	0.05	1	41	0.01029709620059898	0.010148635462638294	0.04961899918728726	0.10976734376716665	0.0951121198922459	1.583986318750274	0.06368040753524362
0.01	0.01	0.05	2	21	0.008910109762972764	0.01024863200738491	0.050044101069295806	0.013406835922121326	0.010918325117502601	0.06276524057526989	0.06169127314000933
0.01	0.01	0.05	2	31	0.008781070000843185	0.010420685023557636	0.05021615408546852	3.6803991868715445e-17	3.207139463418688e-17	2.220446049250313e-16	0.06340199668708135
0.01	0.01	0.05	2	41	0.008846629717827383	0.010333272067578739	0.05012874112948963	3.672050261659899e-17	3.304623075959391e-17	2.220446049250313e-16	0.0642267811401015
0.01	0.01	0.05	3	21	0.009992301327261557	0.010368117950771439	0.05023494310919077	0.012503127534638473	0.010398420719253974	0.059000081842074614	0.06195461256865753
0.01	0.01	0.05	3	31	0.010005458153252086	0.01035057551611738	0.05021740067453671	0.0	0.0	0.0	0.06367435806470823
0.01	0.01	0.05	3	41	0.01016462984966406	0.01013834658756806	0.050005171745987384	0.15228398855669817	0.1298463784707315	15.288455245407334	0.06457518453652011
0.01	0.01	0.05	4	21	0.009136564317802428	0.010261652580374868	0.05023150898058154	0.012794313651689872	0.010292437590207698	0.058947442599113	0.06178003164230572
0.01	0.01	0.05	4	31	0.00921775662539814	0.010153396170247233	0.050123252570453906	0.06950432488576494	0.05723250304831266	0.5244618301183559	0.06350800744503715
0.01	0.01	0.05	4	41	0.009215891310688507	0.010155883256526749	0.05012573965673342	0.0	0.0	0.0	0.0643017458373224
0.01	0.02	0.01	0	21	0.009943312749857639	0.020399595927662082	0.010261112888658195	0.0072568429807874845	0.01281795207307531	0.006893308160466516	0.03753641298276045
0.01	0.02	0.01	0	31	0.010147216522456195	0.020127724230864	0.009989241191860112	9.192234568262132e-17	1.6799329374246341e-16	2.220446049250313e-16	0.03811207271584682
0.01	0.02	0.01	0	41	0.010110085775154334	0.020177231893933157	0.010038748854929268	None	None	None	0.038379951138105994
0.01	0.02	0.01	1	21	0.009943312749857639	0.020399595927662082	0.010261112888658195	0.0072568429807874845	0.01281795207307531	0.006893308160466516	0.03753641298276045
0.01	0.02	0.01	1	31	0.010147216522456195	0.020127724230864	0.009989241191860112	9.192234568262132e-17	1.6799329374246341e-16	2.220446049250313e-16	0.03811207271584682
0.01	0.02	0.01	1	41	0.010110085775154334	0.020177231893933157	0.010038748854929268	None	None	None	0.038379951138105994
0.01	0.02	0.01	2	21	0.010891606580479636	0.020494179015562376	0.010387719200357293	0.006846525102335482	0.012116166181016264	0.006519187453773334	0.03766770818521459
0.01	0.02	0.01	2	31	0.011061712841979848	0.02026737066689544	0.010160910851690361	0.13674433590796128	0.2483194289334091	0.26294919687475926	0.03822753569346371
0.01	0.02	0.01	2	41	0.011162216877001032	0.020133365286867207	0.010026905471662127	None	None	None	0.03854481873225657
0.01	0.02	0.01	3	21	0.010198934264760018	0.020576127731926096	0.010531277814681795	0.00741156560572774	0.013051986185533838	0.007054337238783903	0.03782820634794626
0.01	0.02	0.01	3	31	0.010338484887767762	0.020390060234582445	0.010345210317338144	None	None	None	0.038436256680106085
0.01	0.02	0.01	3	41	0.010425074590723634	0.020274607297307942	0.01022975738006364	0.2540992817177952	0.46834056667598317	5.889515205185405	0.038757523506776304
0.01	0.02	0.01	4	21	0.009551755909999642	0.020322731425388128	0.010517011451076337	0.007303222677070429	0.012767533009483767	0.0070546169464722475	0.03772470079436263
0.01	0.02	0.01	4	31	0.00964811467687621	0.020194253069552703	0.010388533095240913	9.447857795985662e-17	1.7183967700758408e-16	2.220446049250313e-16	0.03834573466080349
0.01	0.02	0.01	4	41	0.009750449782908543	0.020057806261509603	0.010252086287197816	0.2489258050791368	0.458708389347248	4.6796213339141035	0.03861010787996355
0.01	0.02	0.05	0	21	0.010025178953208261	0.020327616593990284	0.04973642263245637	0.013979553937899404	0.02052711903018737	0.05874684187289869	0.07037133526548156
0.01	0.02	0.05	0	31	0.009852463611344751	0.020557903716474923	0.049966709754941	1.0399609208631131e-16	1.6085222785908276e-16	4.440892098500626e-16	0.07219110678611984
0.01	0.02	0.05	0	41	0.009964852190535715	0.02040805227755359	0.049816858316019653	5.2769179848992386e-17	8.363728169549343e-17	2.220446049250313e-16	0.07293931331958914
0.01	0.02	0.05	1	21	0.010025178953208261	0.020327616593990284	0.04973642263245637	0.013979553937899404	0.02052711903018737	0.05874684187289869	0.07037133526548156
0.01	0.02	0.05	1	31	0.009852463611344751	0.020557903716474923	0.049966709754941	1.0399609208631131e-16	1.6085222785908276e-16	4.440892098500626e-16	0.07219110678611984
0.01	0.02	0.05	1	41	0.009964852190535715	0.02040805227755359	0.049816858316019653	5.2769179848992386e-17	8.363728169549343e-17	2.220446049250313e-16	0.07293931331958914
0.01	0.02	0.05	2	21	0.008924431231135307	0.02052304843765989	0.050224240432550075	0.014019934052742034	0.02067645512188707	0.05949580281654532	0.07064522116828431
0.01	0.02	0.05	2	31	0.008764933840211877	0.020735711625557776	0.050436903620447955	0.08420275611937872	0.12831444398545208	0.7327111118614511	0.07254326107968434
0.01	0.02	0.05	2	41	0.008437814064583757	0.021171871326395298	0.05087306332128548	5.450514588835235e-17	8.672028939440835e-17	2.220446049250313e-16	0.0733817531033818
0.01	0.02	0.05	3	21	0.010094017903554756	0.02026681099696976	0.05010793055672009	0.0136008269622996	0.019863282205946096	0.05770034804930124	0.0707730348605452
0.01	0.02	0.05	3	31	0.010108828110102445	0.020247064054906186	0.05008818361465652	0.08839549372065866	0.1309063282918622	0.7799678770382981	0.07271467909072493
0.01	0.02	0.05	3	41	0.010263865289939002	0.020040347815124065	0.04988146737487438	0.13493216172666564	0.2038401390650198	4.27468966310061	0.07364022243098312
0.01	0.02	0.05	4	21	0.009032356012420617	0.020467957116922033	0.05038147700873925	0.014010476194560027	0.02014404534866078	0.058320135122035044	0.07077412880206646
0.01	0.02	0.05	4	31	0.008996107217960478	0.020516288842868928	0.05042980873468616	0.0	0.0	0.0	0.07281165129975276
0.01	0.02	0.05	4	41	0.009017662280185005	0.02048754875990291	0.05040106865172014	6.335700290100662e-17	9.539724409689997e-17	2.220446049250313e-16	0.0737829489716808
0.01	0.03	0.01	0	21	0.010111065787732956	0.03035584480792443	0.010166942595363344	0.01718784490103025	0.04422910502664162	0.016820756014670923	0.04653901615841061
0.01	0.03	0.01	0	31	0.010279214908207933	0.03013164598062445	0.009942743768063356	7.191258627836384e-17	1.9250640394445476e-16	0.0	0.04734785970855504
0.01	0.03	0.01	0	41	0.010258700526237551	0.0301589984899183	0.009970096277357215	0.20796158638361678	0.5630440004815757	4.7699058721246725	0.047717060583995274
0.01	0.03	0.01	1	21	0.010111065787732956	0.03035584480792443	0.010166942595363344	0.01718784490103025	0.04422910502664162	0.016820756014670923	0.04653901615841061
0.01	0.03	0.01	1	31	0.010279214908207933	0.03013164598062445	0.009942743768063356	7.191258627836384e-17	1.9250640394445476e-16	0.0	0.04734785970855504
0.01	0.03	0.01	1	41	0.010258700526237551	0.0301589984899183	0.009970096277357215	0.20796158638361678	0.5630440004815757	4.7699058721246725	0.047717060583995274
0.01	0.03	0.01	2	21	0.010968126771244084	0.030710447551787375	0.010505533727326825	0.01756953179436098	0.04540976269964062	0.017215478634674763	0.04675491473480087
0.01	0.03	0.01	2	31	0.011313460348087221	0.03025000278266321	0.010045088958202665	0.0	0.0	0.0	0.04753314795059793
0.01	0.03	0.01	2	41	0.011521984579075639	0.029971970474678644	0.009767056650218096	None	None	None	0.04792326874871822
0.01	0.03	0.01	3	21	0.010310358590308957	0.0306353632650541	0.01061771568411283	0.016794169003873392	0.0428532271589838	0.016301548047344294	0.046851016826299885
0.01	0.03	0.01	3	31	0.010366875236410824	0.030560007736918297	0.010542360155977034	1.4349159134468754e-16	3.8040233813676142e-16	2.220446049250313e-16	0.0477157656174968
0.01	0.03	0.01	3	41	0.010453853940474028	0.030444036131500672	0.010426388550559405	None	None	None	0.04821170369866701
0.01	0.03	0.01	4	21	0.00937351583959586	0.03071965133661758	0.010981858885396484	0.01718009198520659	0.04372288779004003	0.01690484500394218	0.0467135550912301
