ps	pd	d	seed	ksize	subst_rate_lin	del_rate_lin	ins_rate_lin	subst_rate_poly	del_rate_poly	ins_rate_poly	subst_rate_smm
0.01	0.01	0.01	0	21	0.010017435014566813	0.009974209538776632	0.009881272574056174	0.010067335534702421	0.010014005566829846	0.010562221775531677	0.028142546768434418
0.01	0.01	0.01	0	31	0.010012786062032437	0.0099804081421558	0.00988747117743534	1.448921541016272e-16	1.4349023569122793e-16	2.220446049250313e-16	0.028628632110293317
0.01	0.01	0.01	0	41	0.010040565869518011	0.009943368398841702	0.009850431434121244	0.0	0.0	0.0	0.02885527295481305
0.01	0.01	0.01	1	21	0.010017435014566813	0.009974209538776632	0.009881272574056174	0.010067335534702421	0.010014005566829846	0.010562221775531677	0.028142546768434418
0.01	0.01	0.01	1	31	0.010012786062032437	0.0099804081421558	0.00988747117743534	1.448921541016272e-16	1.4349023569122793e-16	2.220446049250313e-16	0.028628632110293317
0.01	0.01	0.01	1	41	0.010040565869518011	0.009943368398841702	0.009850431434121244	0.0	0.0	0.0	0.02885527295481305
0.01	0.01	0.01	2	21	0.011147271393382372	0.009874238056583782	0.009878066920298752	0.010159894397814746	0.009913078339769404	0.010524545772073735	0.02816946529527553
0.01	0.01	0.01	2	31	0.011156856070731367	0.009861458486785137	0.009865287350500108	1.4785151608386271e-16	1.4397852500297568e-16	2.220446049250313e-16	0.02858899913970747
0.01	0.01	0.01	2	41	0.011164347717536612	0.009851469624378141	0.009855298488093113	0.0	0.0	0.0	0.0288144903774602
0.01	0.01	0.01	3	21	0.010381691101088079	0.009944968563003156	0.00998638990682983	0.010148616775353139	0.009964012587313165	0.010649092297229323	0.028326186003865383
0.01	0.01	0.01	3	31	0.010400601503869365	0.009919754692628116	0.009961176036454791	0.013715141759853519	0.013345843642973148	0.014198156243601323	0.028790840368459247
0.01	0.01	0.01	3	41	0.010420759791109338	0.009892876976308154	0.00993429832013483	0.0	0.0	0.0	0.029024295106862663
0.01	0.01	0.01	4	21	0.00981032720419774	0.010075834477661399	0.010201142744700336	0.010240256722747204	0.010174451211852452	0.01082453470535727	0.02841536584983917
0.01	0.01	0.01	4	31	0.00977826177441722	0.010118588384035423	0.01024389665107436	0.18493612455053843	0.18394916525405364	0.4202792321217972	0.028908059008687315
0.01	0.01	0.01	4	41	0.009784095737616957	0.010110809766435783	0.010236118033474722	0.26060493715237204	0.25938394290532113	1.191343221170353	0.02914556605274765
