fA	simulation	ksize	subst_rate	del_rate	ins_rate
0.15	0	21	0.009256253644665226	0.00999603634795332	0.009925036347953277
0.15	0	31	0.009227384347744453	0.010034528743847682	0.00996352874384764
0.15	0	41	0.009221879403735552	0.01004186866919289	0.009970868669192846
0.15	1	21	0.0096433117645687	0.009992131153447112	0.00992113115344707
0.15	1	31	0.009614453746140306	0.010030608511351643	0.0099596085113516
0.15	1	41	0.009608950952771549	0.01003794556917665	0.009966945569176607
0.15	2	21	0.010480423443226045	0.009935690897734453	0.010066690897734556
0.15	2	31	0.010484585413288656	0.00993014160431763	0.010061141604317736
0.15	2	41	0.010434917271745637	0.009996365793041658	0.010127365793041763
0.15	3	21	0.010006747502608278	0.009793070451448761	0.009977070451448725
0.15	3	31	0.010012374755747006	0.009785567447263792	0.009969567447263754
0.15	3	41	0.010027614628236611	0.009765247617277659	0.00994924761727762
0.15	4	21	0.010646137276575766	0.010050262190706307	0.009881262190706333
0.15	4	31	0.010649610505359192	0.010045631218995068	0.009876631218995095
0.15	4	41	0.010648349820513976	0.010047312132122024	0.009878312132122051
0.15	5	21	0.008831611586630182	0.009913774912605608	0.00991277491260558
0.15	5	31	0.008858148318336779	0.009878392603663485	0.009877392603663456
0.15	5	41	0.008860129285081042	0.009875751314671133	0.009874751314671104
0.15	6	21	0.009246297293384062	0.010195464049991759	0.010027464049991814
0.15	6	31	0.009287111792070507	0.010141044718409837	0.009973044718409891
0.15	6	41	0.009325935121867432	0.010089280278680605	0.00992128027868066
0.15	7	21	0.01079912691287806	0.009991468963738776	0.009918468963738786
0.15	7	31	0.010778342889051405	0.010019180995507644	0.009946180995507654
0.15	7	41	0.010812022935850913	0.009974274266441633	0.009901274266441643
0.15	8	21	0.009417429349981006	0.009979838443681307	0.009974838443681274
0.15	8	31	0.00945400482741529	0.009931071140435595	0.009926071140435562
0.15	8	41	0.009472940101432745	0.00990582410841232	0.009900824108412287
0.15	9	21	0.010710917695575565	0.01006638472044962	0.009936384720449656
0.15	9	31	0.010738728393526437	0.01002930378984846	0.009899303789848496
0.15	9	41	0.010698035223130922	0.010083561350375808	0.009953561350375844
0.16	0	21	0.009318738031648576	0.009995405916314702	0.009924405916314659
0.16	0	31	0.009289870555461295	0.010033895884564409	0.009962895884564366
0.16	0	41	0.00928436595863909	0.010041235346994014	0.009970235346993973
0.16	1	21	0.009546445893984755	0.009993108474542297	0.009922108474542253
0.16	1	31	0.0095175850529803	0.010031589595881572	0.009960589595881529
0.16	1	41	0.009512081721388423	0.01003892737133741	0.009967927371337367
0.16	2	21	0.010247754746101484	0.009938027106447223	0.010069027106447326
0.16	2	31	0.010251917694780562	0.009932476508208447	0.01006347650820855
0.16	2	41	0.010202237874618889	0.009998716268424006	0.010129716268424111
0.16	3	21	0.009960822372010368	0.009793524745494001	0.009977524745493963
0.16	3	31	0.009966449886193638	0.009786021393249642	0.009970021393249604
0.16	3	41	0.00998169046565082	0.00976570062064007	0.009949700620640031
0.16	4	21	0.010702258195667445	0.010049692091399573	0.009880692091399598
0.16	4	31	0.010705731227432598	0.010045061382379369	0.009876061382379394
0.16	4	41	0.010704470614099508	0.010046742200156831	0.009877742200156855
0.16	5	21	0.008304077411893776	0.009919051367270813	0.009918051367270782
0.16	5	31	0.008330628267368865	0.009883650226637357	0.009882650226637328
